epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.138,1.00762,2.81205,1.39869,0.72471,0.7242,0.77667,0.65946,0.69523,1.33757,0.95703,0.00333174,0.00333174,0.00333174
2,449.221,0.92266,1.84484,1.3164,0.71348,0.70999,0.77372,0.62554,0.82251,1.25226,1.0526,0.00659909,0.00659909,0.00659909
3,667.014,0.96881,1.60856,1.35281,0.76392,0.73847,0.80041,0.64865,0.85175,1.12751,1.08196,0.00980044,0.00980044,0.00980044
4,882.604,0.99032,1.4809,1.36643,0.79788,0.74861,0.81582,0.66428,0.81559,1.01417,1.07003,0.009703,0.009703,0.009703
5,1103.35,0.92972,1.33386,1.32541,0.77657,0.78604,0.83591,0.69787,0.74619,0.98088,1.03536,0.009604,0.009604,0.009604
6,1327.13,0.88154,1.25698,1.29376,0.78482,0.78461,0.84116,0.70054,0.72786,0.99853,0.99043,0.009505,0.009505,0.009505
7,1549.33,0.85314,1.20821,1.28541,0.83801,0.79155,0.87178,0.7526,0.64779,0.85459,0.94795,0.009406,0.009406,0.009406
8,1772.5,0.83359,1.17732,1.26928,0.82263,0.80941,0.86528,0.74159,0.6595,0.87218,0.96207,0.009307,0.009307,0.009307
9,1998.23,0.81358,1.15091,1.26005,0.80973,0.78262,0.86983,0.75383,0.61623,0.87594,0.91154,0.009208,0.009208,0.009208
10,2220.39,0.79559,1.12335,1.24787,0.83845,0.80906,0.88191,0.75952,0.62172,0.79764,0.91744,0.009109,0.009109,0.009109
11,2441.57,0.78982,1.10786,1.24595,0.81497,0.82665,0.87908,0.75588,0.63796,0.77965,0.9648,0.00901,0.00901,0.00901
12,2664.28,0.78688,1.0883,1.23805,0.85054,0.79364,0.87513,0.76004,0.60055,0.78772,0.92042,0.008911,0.008911,0.008911
13,2887.11,0.76538,1.0742,1.22574,0.84595,0.83552,0.89409,0.77594,0.60346,0.74977,0.91274,0.008812,0.008812,0.008812
14,3106.34,0.75045,1.05762,1.22073,0.84477,0.81888,0.88894,0.78307,0.57024,0.76585,0.90286,0.008713,0.008713,0.008713
15,3327.37,0.75015,1.04798,1.21663,0.85591,0.82074,0.898,0.78748,0.58207,0.73031,0.89032,0.008614,0.008614,0.008614
16,3547.75,0.74345,1.02779,1.21271,0.84314,0.84748,0.90011,0.79343,0.56865,0.72288,0.89786,0.008515,0.008515,0.008515
17,3769.71,0.73409,1.01841,1.20663,0.8625,0.82224,0.89435,0.78263,0.5786,0.73722,0.90418,0.008416,0.008416,0.008416
